puzzle_id,fen,key_moves,mate_in,rating,solution
lu40u,2r3k1/5p2/7p/R5p1/1K6/P1P1RP1P/2r5/8 b - - 6 40,c2b2,2,1235,c2b2 b4a4 c8c4
yvuuU,5Q2/4N1pk/5q1p/4n3/2p5/6PP/5P1K/8 w - - 7 43,f8g8,1,980,f8g8
sbtl1,5r1k/2R5/1p4Bp/p7/6R1/6K1/5r2/8 b - - 3 38,f8f3,2,1159,f8f3 g3h4 f2h2
XWmNB,8/8/p4q2/2Pp1b1p/1P5k/P3Q1p1/6P1/7K w - - 4 44,e3f4,2,1128,e3f4 f5g4 f4f6
rZ9dc,r5k1/pr3p1p/6p1/2P1B3/1n6/8/3R1PPP/3R2K1 w - - 0 26,d2d8,2,435,d2d8 a8d8 d1d8
gxTO8,8/p2N1Qpk/7p/2p3n1/4q3/P5PP/5P1K/8 w - - 3 33,d7f6,2,1829,d7f6 h7h8 f7f8
0ZtBv,8/8/p4p2/5B1R/2bPPk2/r7/6PP/6K1 b - - 0 36,a3a1,2,1061,a3a1 g1f2 a1f1
Nhn5F,5b1k/8/p1Q3p1/4P2p/P1pqn3/8/2B3PP/5R1K b - - 2 34,e4f2,4,1937,e4f2 f1f2 d4a1 c2b1 a1b1 f2f1 b1f1
Clmby,4r1k1/pp3ppp/2q2PP1/2p4P/3b1PQ1/5r2/P6K/8 w - - 0 34,g6h7,2,1544,g6h7 g8h7 g4g7
UuIXI,k7/p6p/4Q1n1/3pb3/1P5P/4q1P1/P1P5/1K6 w - - 1 37,e6c8,2,1084,e6c8 e5b8 c8c6
pOvYy,1b2r1k1/pp3pp1/2pq3p/8/3P4/1Q3B2/PP3PPP/3R2K1 b - - 1 20,d6h2,2,1042,d6h2 g1f1 h2h1
0vXgw,7Q/8/4p3/pp3kP1/2p5/PP3K2/8/2q5 w - - 0 40,h8f6,1,1130,h8f6
yWMb2,2r4k/5Qpp/p1p5/3p4/8/4P3/qP4PP/5RK1 w - - 1 24,f7f8,2,553,f7f8 c8f8 f1f8
bnlES,6k1/5ppp/p7/3n4/1p1q4/1P1B1P1P/P1Q2PK1/4r3 w - - 3 34,c2c8,2,644,c2c8 e1e8 c8e8
3PClS,8/4pk2/4Np1p/1p1K1P2/1P5P/2b5/7r/q5R1 w - - 0 46,g1g7,3,1434,g1g7 f7e8 g7g8 e8d7 g8d8
taSCy,k1r5/p4ppp/Q3pq2/B7/8/8/PP3PPP/6K1 w - - 0 28,a6c8,1,556,a6c8
RQreK,8/p5pp/1p2p3/3q1p2/8/Q7/Pr2kPPP/3r1RK1 w - - 6 39,a3e3,1,1568,a3e3
ePUyY,2Qqk2r/pp2ppb1/3p2p1/3P3p/4P3/4B1P1/P3BPKP/8 w k - 1 25,e2b5,2,1054,e2b5 e8f8 c8d8
JdZoW,8/kPK4p/6p1/5p2/8/8/6P1/4q3 w - - 0 54,b7b8q,2,968,b7b8q a7a6 b8b6
u7sBL,8/1p3k2/2p1pPR1/p2p2R1/P2P1qPK/2P5/1P3P2/8 b - - 4 41,f4h2,1,936,f4h2
DtbmZ,2Q1Q3/6pk/1p2p2p/3p1p2/8/4P2P/3n1qPK/8 b - - 0 36,d2f3,2,1612,d2f3 h2h1 f2g1
NC3sG,3R4/4r2p/1p4p1/p1k1qp2/P3p1P1/8/8/5Q1K w - - 5 48,f1b5,1,1454,f1b5
tFng5,r6k/p4Qpp/1p1q1p2/8/P7/3p3P/1P2R1K1/1r6 w - - 0 32,e2e8,3,755,e2e8 a8e8 f7e8 d6f8 e8f8
3RVdA,1k6/pp3p1Q/1b3q2/8/1P6/P4P1P/5p2/R4R1K b - - 0 25,f6f3,2,1076,f6f3 h1h2 b6c7
eXXX7,4r1k1/pbp2ppp/1p6/8/8/2P5/PP1P1PPP/RNB2K2 b - - 1 19,b7a6,4,1280,b7a6 c3c4 a6c4 d2d3 c4d3 f1g1 e8e1
GQzsd,1r6/2kP4/2pb4/8/K7/1R5B/1P6/8 b - - 20 50,b8a8,1,1069,b8a8
6gl44,3Qn1k1/p4ppp/4p3/4Nq2/2PP4/P1P1B3/5PPP/6K1 b - - 1 24,f5b1,2,1120,f5b1 e3c1 b1c1
iCiPL,4r1k1/ppp2ppp/2b5/4Q3/3p2Bq/3P1P2/PPP3PP/4R1K1 w - - 1 22,e5e8,2,651,e5e8 c6e8 e1e8
iwY0g,5K2/p6R/5kp1/5p2/2R4P/1P1r4/5rP1/8 b - - 0 33,d3d8,1,1060,d3d8
WSEJO,2r2r1k/pp3Bp1/1b1p4/4p3/4R1p1/5R2/P5PP/7K w - - 2 26,f3h3,2,1496,f3h3 g4h3 e4h4
TuwsI,1r4k1/5ppp/4p3/R1Pp4/8/5B2/5PPP/6K1 b - - 0 28,b8b1,2,424,b8b1 f3d1 b1d1
JgS5d,8/8/8/3Rppk1/4P1p1/6K1/1r4PP/8 b - - 3 51,f5f4,1,1098,f5f4
GDxjC,5r1k/pp4pp/2p5/8/2PQ4/1P2P1P1/P3q2P/3R3K b - - 5 27,f8f1,2,1109,f8f1 d1f1 e2f1
Xq9YE,8/2R5/4pk2/P1Bb1p1K/3P1r2/8/7P/8 b - - 1 40,d5f3,2,1107,d5f3 h5h6 f4h4
FXTio,1r6/5p2/4pBp1/7p/3nk2P/6P1/P2R1PK1/2r5 w - - 0 40,d2d4,2,1136,d2d4 e4f5 d4f4
WIgCL,8/1p4kp/p3Q1p1/3p1B2/3q4/P4R1K/1P4P1/2r5 b - - 0 45,c1h1,2,907,c1h1 h3g3 d4h4
N8VDm,1R6/p2Q4/5kpp/4p3/7P/8/P1r2bPK/5q2 w - - 2 38,b8f8,1,1310,b8f8
MU5am,4rrk1/ppp5/1b4pp/4Q3/q7/2PP1P2/PP3P1P/6RK w - - 0 23,g1g6,2,1030,g1g6 g8f7 e5f6
U43CZ,8/pp1R3p/5rpk/4p3/6Q1/7P/1qP2P2/6K1 w - - 2 30,g4h4,1,942,g4h4
CKmiy,2k2r2/2p2r2/bp6/p7/4P3/P3P3/1P4PR/2NR2K1 b - - 4 30,f7f1,2,693,f7f1 d1f1 f8f1
Ydlus,8/7p/1p2pQ2/p5pk/P1P3p1/1P1p1P1K/3q4/8 w - - 0 37,f3g4,1,905,f3g4
pHuTB,1B6/2p3pp/1pB5/4k3/4P3/2Pn4/r6P/5KR1 b - - 3 29,a2f2,1,1197,a2f2
L8iOo,6k1/2r2ppp/p2R4/2P2p2/P7/4r2P/6P1/2R3K1 w - - 0 34,d6d8,2,524,d6d8 e3e8 d8e8
RxPWH,5rk1/5ppp/5q2/8/8/1Q5P/r4PP1/1R2R1K1 b - - 3 32,f6f2,2,871,f6f2 g1h2 f2g2
2ePoQ,6k1/2p2p1p/1p2p1p1/p1r3PP/P7/1rPK1Q2/8/8 w - - 3 30,f3a8,2,1114,f3a8 g8g7 h5h6
nKSet,2kr4/7p/p3Rp2/1pp5/8/2P5/P1P2PPP/6K1 b - - 0 22,d8d1,2,598,d8d1 e6e1 d1e1
FSncQ,6k1/p4p1p/1pp1b3/2b3p1/2PqPp2/1P1N1P2/P1Q1B1PP/7K b - - 7 26,d4g1,1,674,d4g1
tcZUW,B1k5/1RP5/1B5p/4p1b1/P3P3/5p1P/6nK/3r4 b - - 3 44,g5f4,1,791,g5f4
MdO0C,QR6/6p1/3P4/2P2q2/1Bk5/2P4r/P4Pp1/R5K1 b - - 0 31,h3h1,2,1579,h3h1 g1g2 f5h3
OodJe,3r2k1/p5p1/1pRB1p1p/5P2/3R4/P1P5/2P1r1PP/7K b - - 2 30,e2e1,1,624,e2e1
JCCPQ,6k1/B4pp1/N7/1P3q1p/P1QPp3/4P1bP/6P1/6K1 b - - 0 44,f5f2,3,1461,f5f2 g1h1 f2e1 c4f1 e1f1
ISPDN,6k1/pp5p/6p1/8/3R4/2N3b1/PP3P1q/4RK2 b - - 6 31,h2f2,1,961,h2f2
tRTwi,2k2r2/2p3p1/p1p1p2p/8/NP2P3/P2PR3/2P3PP/7K b - - 0 24,f8f1,1,399,f8f1
j6ktS,2r3k1/pp3p2/8/7p/6n1/1Q6/P5PP/4rR1K b - - 2 30,e1f1,1,509,e1f1
5gkbD,3r1k2/3P1ppp/1nB5/8/1p2R3/6P1/5P1P/6K1 w - - 1 31,e4e8,2,1438,e4e8 d8e8 d7e8q
i1yMg,3r2k1/6pp/2p5/5Q2/1P6/P4pB1/4qP1P/5RK1 b - - 1 28,e2f1,2,1624,e2f1 g1f1 d8d1
j3bcV,7R/3kp3/2p2p2/2P5/8/P5RP/Q6K/3r1q2 b - - 3 58,f1h1,1,987,f1h1
rRe1P,4q2k/pp5p/2p3pP/8/3np2Q/P4pP1/1PP5/1K6 w - - 0 35,h4f6,2,1218,h4f6 h8g8 f6g7
p0h2u,6k1/5ppp/4p3/8/2r5/5P2/6PP/R5K1 w - - 0 37,a1a8,2,476,a1a8 c4c8 a8c8
5PnGQ,Q7/3N1pk1/p5pp/1p2P3/1Pb1B3/6P1/5P1P/2qn3K w - - 4 36,a8f8,2,1177,a8f8 g7h7 d7f6
rlCXJ,5Q2/pp6/2k3B1/6p1/8/2P3RP/PP4bK/5q2 b - - 0 36,f1h1,1,972,f1h1
6iAzK,4B1k1/pQ4pp/1n3p2/8/3q4/7P/5PP1/6K1 w - - 0 31,b7f7,2,1144,b7f7 g8h8 f7f8
6vsMx,4r2k/pp2q3/2p3Qp/3p2pN/3P4/5P2/PPPn2PP/R5K1 b - - 2 24,e7e3,3,1469,e7e3 g1h1 e3e1 a1e1 e8e1
2Wz1b,7k/6pp/p2b2q1/1p2Q3/2p1RP2/3r2PK/PP5P/8 w - - 5 37,e5e8,3,683,e5e8 g6e8 e4e8 d6f8 e8f8
aHkGm,8/1p6/7R/1p5P/1P4r1/P2pk3/8/3K4 b - - 0 52,g4g1,1,624,g4g1
Wgx6d,4r1k1/Qp3ppp/2p5/3pqb2/8/P1P2B2/1P3PPP/R5K1 b - - 0 23,e5e1,2,400,e5e1 a1e1 e8e1
7zaz5,4kr2/pp1b3R/4p3/3pQ3/8/2PK1N2/P4qP1/8 w - - 4 33,e5b8,2,1400,e5b8 d7c8 b8c8
eJEm2,8/R7/6p1/2N2k2/2pp1P1P/4pKP1/2r5/8 b - - 3 45,c2f2,1,536,c2f2
QnxVm,4r1k1/5p2/pq4pQ/1p6/4N2P/P7/1r3PP1/4R1K1 w - - 0 31,e4f6,2,872,e4f6 b6f6 e1e8
SLfmS,8/5R1p/r6k/3p3B/3Nn1P1/4P3/5PK1/1r6 w - - 3 41,d4f5,2,1820,d4f5 h6g5 f2f4
ihBlS,6k1/6pp/8/ppp5/5r1P/PPKR1N2/4r3/3R4 b - - 1 32,b5b4,2,1197,b5b4 a3b4 c5b4
juFwo,3r1rk1/6p1/3qp2Q/p3Np2/2pP2R1/2P5/P4PPP/6K1 w - - 0 25,h6g7 g4g7,1,711,h6g7
cvXGB,8/8/p4p2/1q4p1/3K3k/2P2Q2/6P1/8 w - - 22 64,f3h3,1,1019,f3h3
V69Fk,6Q1/2q3r1/3pPb1k/3P1Ppp/8/2p4B/7P/1R5K w - - 2 41,g8h8,2,1101,g8h8 g7h7 h8f6
mT6yx,6k1/2p5/2p3pp/P2bK3/6rP/2B5/1PP5/3R4 b - - 2 35,g4e4,2,1109,g4e4 e5f6 e4e6
UJ9Zf,8/4p1kp/3p1pp1/3R4/4P2P/4QP1P/1rr5/6RK b - - 0 26,c2h2,1,717,c2h2
obGfj,r4rk1/pp4pp/4R3/2q1Q3/1p6/8/PP3PPP/4R1K1 b - - 0 20,c5f2,3,1110,c5f2 g1h1 f2f1 e1f1 f8f1
W2ikZ,Q7/6pk/p5rp/8/3P2q1/2P2rP1/PP3P2/4RRK1 b - - 0 27,f3g3,3,1275,f3g3 f2g3 g4g3 a8g2 g3g2
B4F5u,5rk1/p1p3p1/8/P1p4Q/6N1/2q3PP/8/5RK1 b - - 1 34,c3g3,2,1608,c3g3 g1h1 f8f1
dQBGQ,5rk1/6pp/Q2p3q/2p5/2P5/PP3nP1/3P1PKP/1R3R2 b - - 1 29,h6h2,1,1317,h6h2
CXe2t,8/p3kp2/4p2K/4P1p1/1p1N4/r2R2P1/5r1P/8 w - - 2 32,d4c6,2,1049,d4c6 e7f8 d3d8
tl15p,3R4/1pp4p/1n2rNkN/4n1P1/8/pP6/P1P5/1K6 w - - 1 36,d8g8,1,688,d8g8
UypsF,Q7/1r6/6p1/8/4pkq1/6R1/5PKP/8 b - - 2 48,g4f3,3,1817,g4f3 g3f3 e4f3 g2f1 b7b1
IAjNo,6Q1/1pk1p3/p3p1p1/2p1R1b1/2qp4/8/3P1PPP/2B3K1 b - - 0 26,c4c1,2,701,c4c1 e5e1 c1e1
zRp4W,5k2/3P1pp1/8/7p/4R1nP/6K1/6P1/3r4 w - - 1 50,e4e8,1,1088,e4e8
2YmSv,3r4/6p1/p4p1k/4p1b1/P1q1P3/1p3QNP/1P3PP1/1B4K1 w - - 0 32,f3h5,1,844,f3h5
pUr0F,1r6/1p2k3/p1pr4/5Qp1/8/2P5/P4PPP/6K1 b - - 0 38,d6d1,1,1231,d6d1
g6yhk,2b2rk1/5rp1/p2Q3p/1p6/4P3/2P5/PP4PP/1R3R1K b - - 0 23,f7f1,2,542,f7f1 b1f1 f8f1
LQAZB,2q2bk1/7p/5Qp1/6N1/1n1P2P1/p4P1K/7P/8 w - - 0 37,f6f7,2,980,f6f7 g8h8 f7h7
3AsI3,5k2/1p5P/p4KR1/7r/8/5P2/8/8 w - - 1 58,g6g8,1,846,g6g8
V7Yzu,6k1/p3r1pp/4Pp2/Np6/8/1P2K1Pb/r6P/2R1R3 w - - 0 33,c1c8,2,601,c1c8 e7e8 c8e8
ujhrI,1r6/R7/P7/8/5p2/5k1K/8/8 b - - 0 67,b8h8,2,991,b8h8 a7h7 h8h7
aqkoG,2k3nr/ppp3pp/5p2/8/2Q1PP2/1P3K2/q6P/1R6 w - - 0 23,c4e6,3,1061,c4e6 c8d8 b1d1 a2d2 d1d2
gB1fL,8/R7/2p2k2/5p2/2P1p1r1/5n1p/5R1P/4NK2 b - - 1 42,g4g1,2,1177,g4g1 f1e2 g1e1
W6vOh,3r3k/4p3/6p1/2Q3Pp/4P3/1B6/P1R1KP2/q7 b - - 3 44,a1d1,5,2230,a1d1 e2e3 d8d3 e3f4 d1g4 f4e5 g4g5 e5e6 g5f6
RJF54,5r1k/1pp3pp/p7/3Q4/1P6/P3P3/2q2PPP/3R2K1 b - - 2 27,c2f2,3,1001,c2f2 g1h1 f2f1 d1f1 f8f1
xt5O1,2R5/8/5p1p/4p1k1/2Pp2P1/2r2PP1/5K2/8 w - - 2 49,c8g8,1,571,c8g8
t832h,8/7B/8/R4r1p/P2r1k2/1P3P1p/5K2/8 w - - 1 47,a5f5,1,920,a5f5
I99RN,1k2r3/1ppb1ppp/8/2N5/8/8/Pq3PPP/4Q1K1 w - - 1 26,c5d7,2,1373,c5d7 b8a7 e1a5
fxDzx,8/p5pk/6rp/2p5/4bP2/1BP5/PB1P1P1P/3R1K2 b - - 1 34,e4d3,2,1462,e4d3 f1e1 g6g1
TBzfg,8/pb3k2/1p6/4B3/1P1P2pb/P3Pp2/2P5/R4KR1 b - - 3 30,b7a6,3,1652,b7a6 b4b5 a6b5 c2c4 b5c4
fbA09,1r4k1/5ppp/p3p1b1/6R1/2P5/7Q/P5R1/K2N4 b - - 0 31,b8b1,1,614,b8b1
9GYKV,5r1k/p5pp/2QR1q2/2p1p3/4P3/8/PrP2PPP/5RK1 b - - 0 19,f6f2,4,1352,f6f2 f1f2 b2b1 d6d1 b1d1 f2f1 d1f1
kJLZY,1q4k1/5ppp/r2r4/8/p3RP2/4Q2P/P2B2P1/7K w - - 2 32,e4e8,2,497,e4e8 b8e8 e3e8
uJ80w,4B3/4k3/3p2Q1/p1b1qp2/2P3p1/4P3/5PK1/8 w - - 3 50,g6f7,2,914,g6f7 e7d8 f7d7
1GdFH,8/pp4Q1/6b1/4P3/2p2ppk/5PqP/6P1/7K w - - 0 46,g7h6,2,1790,g7h6 g6h5 h6f6
MAvED,3rkr2/ppp4Q/6R1/4p3/4q3/1PP1P3/1P2K3/R7 w - - 3 31,g6e6,1,953,g6e6
gpUY2,3Q4/8/p3r1pk/2p1PpRp/2q2P1P/3p4/6PK/8 w - - 0 46,d8h8,1,720,d8h8
tiXSh,4r1k1/1p3p2/2pb4/p3q1p1/4P2p/P1P1R2P/1P4P1/3R1Q1K b - - 0 42,e5h2,1,553,e5h2
3zpgW,1k2N3/pp4p1/6p1/6P1/2Q5/P4qb1/1P3B2/5K2 b - - 0 48,f3f2,1,919,f3f2
ezDNJ,2r3k1/1p3pp1/3p3p/1R3N2/2P1q3/4P1Q1/4KPPP/r7 w - - 2 28,g3g7,1,1250,g3g7
lK4mi,8/1pR2pkp/6p1/p5P1/Pn3N2/5b1P/7r/2K5 w - - 0 40,f4e6,2,1041,f4e6 g7h8 c7c8
gGOVH,4r2k/pR5p/3b2p1/3B2B1/3P4/2Pn3P/P5P1/6K1 b - - 0 27,e8e1,1,954,e8e1
xTMTT,r5k1/pp1q3p/6pB/8/5R2/1P3Q2/1b1p2PP/6K1 w - - 0 27,f4f8,2,726,f4f8 a8f8 f3f8
uFfQa,2k5/1pp5/p1b5/2P4r/PR6/1P2p1P1/5P2/R5K1 b - - 1 30,h5h1,1,590,h5h1
AV6eE,8/4p2p/1pK1N1pk/3BP3/1r1b4/3r4/6P1/R7 w - - 7 38,a1h1,2,1087,a1h1 d3h3 h1h3
psNva,8/2R1ppk1/3p2p1/4n3/3KP1P1/r6P/P7/5R2 b - - 7 48,a3d3,1,1133,a3d3
wxpSZ,1R6/2p1rk1b/p3N1pP/3P1r2/2p1K3/8/1R6/8 w - - 2 40,b8f8,1,545,b8f8
PQqie,6k1/4Rp2/p2r1P1p/1ppB2p1/3p4/P2P4/1Pr3PP/6K1 w - - 0 24,e7e8,2,2027,e7e8 g8h7 d5e4
Xy1tB,1k4r1/R3R3/1r6/7p/6p1/7P/6PK/8 b - - 0 53,g4g3,3,944,g4g3 h2g1 b6b1 e7e1 b1e1
AZwmR,8/p7/1ppR1R2/4k1r1/3r2B1/P2b2K1/8/8 w - - 2 44,f6e6,1,1490,f6e6
jZXEy,r4k2/6p1/p1p1Q1Bp/1p6/3P4/P4P1P/1P2KP2/q7 w - - 1 28,e6f7,1,950,e6f7
B9s0P,5k2/ppp2p1p/2n5/5qB1/3P3P/2P5/PP3P2/4R1K1 w - - 0 23,g5h6,2,1372,g5h6 f8g8 e1e8
G8pw0,3r2k1/2p2pp1/8/1p2P2p/5BqP/1P4P1/5PQ1/2R2K2 b - - 1 30,d8d1,2,835,d8d1 c1d1 g4d1
P81Fc,5r1k/p1p3p1/1bp3p1/8/4R3/1B2p3/PPP1K1PP/8 w - - 2 31,e4h4,1,757,e4h4
Bsfg8,7k/3R3p/6p1/2b3N1/2B3K1/1P4PP/5r2/8 b - - 3 39,h7h5,3,1633,h7h5 g4h4 f2f4 g3f4 c5f2
1txoP,8/4N1k1/3p1p2/3P2pK/2B2r2/7P/6Q1/8 b - - 0 54,f4h4,1,732,f4h4
PHHOv,5k2/5p1p/4P1p1/3q4/5Q2/7P/6P1/6K1 w - - 0 44,f4f7,1,1040,f4f7
sPTjN,r7/pp3Q2/8/2p1r3/1q2k3/2R5/2PK2PP/8 w - - 11 34,f7f3,2,1106,f7f3 e4d4 f3d3
MuLFR,r6k/6p1/6Bp/1p6/1Ppq4/4rQ2/6PP/5RK1 w - - 0 35,f3f8,2,1111,f3f8 a8f8 f1f8
LktnO,R7/5kp1/p6p/P3p3/4Pr2/8/6PP/7K b - - 2 37,f4f1,1,444,f4f1
s2Kuw,4Q3/p1p2pkp/5N1q/1P1p2p1/3P2K1/5PN1/7P/8 b - - 1 36,h6h4,2,1149,h6h4 g4f5 h4f4
JpS3X,4r1k1/5ppp/6b1/1Q6/5K2/P5P1/8/3r4 w - - 12 48,b5e8,1,543,b5e8
7IHas,r6r/pp5R/1b2k3/5N2/4PK2/1P1p4/3P4/8 w - - 0 41,h7e7,4,1623,h7e7 e6f6 e4e5 f6g6 e7g7 g6h5 g7g5
CDy0d,7k/p1b5/6rp/5N1Q/1P2q3/7P/5PP1/3R2K1 b - - 3 64,e4g2,1,719,e4g2
7v34F,5k2/3qr2p/4R3/3r4/pBp3R1/P5P1/1PP2P2/2K5 w - - 11 42,e6f6,2,1860,e6f6 f8e8 g4g8
aGK19,1n6/1P4pk/6rp/3N1Q2/4P2P/8/q5P1/5RK1 b - - 0 42,a2g2,1,612,a2g2
dcINe,2rr2k1/p4ppp/8/1pP5/4n1P1/3R4/P6P/3R3K w - - 2 32,d3d8,2,578,d3d8 c8d8 d1d8
7Fknw,2r3k1/p3qp1p/4p1pQ/3p4/1Pr5/P6R/5PPP/4R1K1 w - - 7 28,h6h7,2,730,h6h7 g8f8 h7h8
HtSai,3R4/1pp2Qpk/p7/2q2p2/8/6bP/6P1/5K2 w - - 4 41,f7h5,1,1369,f7h5
isFKe,5rk1/1p1R2pp/p7/2q5/P5Q1/7P/1P3r2/3R2K1 w - - 2 28,g4g7,1,1063,g4g7
bYgwv,3r1k2/pp3Bpp/2n5/2P1p3/6b1/PQ6/1PP4P/2K2N2 b - - 0 21,d8d1,1,440,d8d1
9QjKF,r2r2k1/pp3ppp/8/8/6P1/P6P/qPPR1P2/2KR4 w - - 0 27,d2d8,2,487,d2d8 a8d8 d1d8
tPcPu,2r3k1/5rpp/p7/3Q4/2p5/8/2q3PP/5R1K w - - 0 26,d5f7,3,976,d5f7 g8h8 f7f8 c8f8 f1f8
e8H0X,6k1/ppq3pp/2p5/3b1R2/3P4/P7/1P4PP/4R2K w - - 1 27,e1e8,1,780,e1e8
tVU6G,1R6/7p/r4pk1/3P1b1p/2pBQ3/7q/P7/6K1 w - - 3 33,b8g8,2,1184,b8g8 g6f7 e4e8
4p1wC,1R4rk/3q1p1p/p6Q/2p5/P7/2P2n2/8/5K2 w - - 4 43,h6f6,1,1111,h6f6
9yRBW,1R6/2p2r2/1n1pp1k1/1P2p1p1/4P1Kp/2PP1N1P/6P1/8 b - - 1 30,f7f4,1,1283,f7f4
zQ2Sa,1r3b2/3R2pk/5p1p/2q1pN2/4P3/1p5P/3Q1PP1/6K1 w - - 0 37,d2h6,3,1564,d2h6 h7g8 d7g7 f8g7 h6g7
sJpON,5rk1/pp3pq1/2p1p1p1/3r4/4N3/P6Q/1PP5/1K5R w - - 6 30,e4f6,2,1307,e4f6 g7f6 h3h7
O54Wi,r4k2/p2R1prp/8/3qpQ2/8/8/P1P2PPP/5R1K b - - 1 22,d5g2,1,859,d5g2
3vqay,Q4b1k/3N3p/2p3p1/5r2/8/1BP1P3/1P1n2PP/6K1 b - - 3 30,f5f1,1,822,f5f1
