puzzle_id,fen,key_moves,mate_in,rating,solution
MbwYU,2kr3r/1bpp2p1/1P2p3/1P4q1/5pP1/3Q1P2/1B2B1K1/3R3R b - - 0 31,g5g4,3,1554,g5g4 g2f2 g4g3 f2f1 h8h1
X3JUL,6r1/kp6/p3p2p/2b2p2/P4P1q/2P1P1rP/1Q3RP1/1R2N2K b - - 1 30,g3h3,3,1903,g3h3 g2h3 h4h3 f2h2 h3f1
V4zdG,rn4k1/1p3ppp/p1p2n2/6q1/8/8/PPP1r1PP/1K1RR3 w - - 0 20,d1d8,3,1179,d1d8 f6e8 d8e8 e2e8 e1e8
lNUVz,k2r4/pp1q3p/4R3/5Q2/5p2/2N5/PPP2PPP/2K5 b - - 0 23,d7d2,3,1236,d7d2 c1b1 d2d1 c3d1 d8d1
p6zeS,6k1/1Q5p/3P2p1/3p3r/4pq2/1P4RP/P4r2/6RK w - - 1 37,g3g6,3,1530,g3g6 h7g6 g1g6 g8h8 b7g7
8aSr8,3r2k1/p4p1p/4p1pP/4P3/4nP1Q/5N2/PP4P1/1KRq4 b - - 5 30,e4c3,3,2037,e4c3 b2c3 d8b8 b1a1 d1c1
njxI7,3r2k1/Q4ppp/2pr4/8/8/8/P1q3PP/R4R1K w - - 0 23,a7f7,3,859,a7f7 g8h8 f7f8 d8f8 f1f8
HeRhk,4r2r/2p2k2/pp1p2p1/3P1n2/3b4/3B4/PP4PP/R1B2R1K b - - 1 21,h8h2,3,1431,h8h2 h1h2 e8h8 c1h6 h8h6
euE36,2r2r2/1p4pk/pq2N2p/3pP3/Q3p3/1P6/P4PPP/2R2RK1 b - - 0 27,b6f2,3,1853,b6f2 g1h1 f2f1 c1f1 f8f1
ghDto,r1b2r1k/p5pp/1qp4n/1pb5/4P3/1BN2Q2/PPP3PP/R4R1K w - - 0 19,f3f8,3,606,f3f8 c5f8 f1f8 h6g8 f8g8
2By4o,4R3/6p1/p1r2p1k/1p1R3p/5P1P/P4PK1/1r6/8 w - - 0 49,e8h8,3,1269,e8h8 h6g6 f4f5 g6f7 d5d7
891TF,r4r1k/ppp3p1/3p3p/8/7q/2N1R2Q/PPP2PPP/R5K1 b - - 2 18,h4f2,3,908,h4f2 g1h1 f2f1 a1f1 f8f1
40OCn,r3r1k1/pp2qp1p/2pR2p1/5B2/5Q2/2P5/P1P2PPP/R4K2 b - - 0 23,e7e2,3,1383,e7e2 f1g1 e2e1 a1e1 e8e1
UPPMa,6k1/1b3pbp/pq4p1/3p4/3P4/r6P/P3Q1P1/2r2R1K w - - 0 32,e2e8,3,1358,e2e8 g7f8 e8f7 g8h8 f7f8
D4446,3r2k1/5ppp/P7/4r3/2Q5/8/1P1q2PP/5R1K w - - 0 30,c4f7,3,785,c4f7 g8h8 f7f8 d8f8 f1f8
3RybW,r4rk1/ppp3p1/2B2q1p/4R3/8/2Q5/PPP2PPP/4R1K1 b - - 0 19,f6f2,3,1032,f6f2 g1h1 f2f1 e1f1 f8f1
B35kj,1nbk1b1r/2R3p1/pB1pP1np/1q6/4P3/1B6/PP4PP/5RK1 w - - 0 20,c7d7,3,1884,c7d7 d8e8 d7d8 e8e7 f1f7
95iJj,4r1k1/p4pp1/1p2rn1p/8/3B1Q2/Pq6/1P3PPP/R2R2K1 b - - 1 22,b3d1,3,1308,b3d1 a1d1 e6e1 d1e1 e8e1
uT4EE,r1b3k1/ppq1b1p1/2n1p2r/3p2NQ/P2P3P/2P5/3B1PP1/R3K2R w KQ - 4 17,h5f7,3,1907,h5f7 g8h8 f7e8 e7f8 e8f8
pw1w5,3Rnk2/5ppp/8/4Pq2/8/1KB1bP2/1P4PP/1N6 w - - 8 38,c3b4,3,1011,c3b4 e3c5 b4c5 f8g8 d8e8
6zYMP,r1b2rk1/pp2Qppp/1qp5/6B1/2B1P3/2NP4/PPP2nPP/R4RK1 b - - 2 15,f2h3,3,1330,f2h3 g1h1 b6g1 f1g1 h3f2
C9efr,2r3k1/pp3ppp/3r3q/3Q4/8/3B2P1/PP5P/5RK1 w - - 0 23,d5f7,3,1288,d5f7 g8h8 f7f8 c8f8 f1f8
teQsp,5rk1/p4Rpp/1p1Q4/1q2p3/3p4/8/5RPP/7K b - - 0 38,b5b1,3,1841,b5b1 f2f1 b1f1 f7f1 f8f1
3n4Iy,2Rb1rk1/pp1Q2p1/5q2/8/8/4P3/P4PPP/3R2K1 b - - 6 25,f6f2,3,862,f6f2 g1h1 f2f1 d1f1 f8f1
XOoVw,5Q2/8/4p1p1/p3P1kp/Pp1qP3/2n5/6PP/7K w - - 3 39,h2h4,3,2040,h2h4 g5g4 f8f3 g4h4 f3f4
WvppE,7k/pR3rp1/1b6/7p/1P3P2/PK1B4/6qP/8 w - - 0 37,b7b8,3,899,b7b8 b6d8 b8d8 f7f8 d8f8
qpWMz,7k/pbr2pr1/1pq1pp1p/7Q/P1P5/4p2N/2P2PPP/3R2K1 w - - 0 24,h5h6,3,1470,h5h6 h8g8 d1d8 c6e8 d8e8
gWGKo,1r6/5p1k/p2p1PpN/2p5/7Q/2P5/Pq6/6K1 w - - 0 37,h6f5,3,1946,h6f5 h7g8 f5e7 g8f8 h4h8
VOBXX,1k4rr/R2n1p2/3pqb2/1P2p3/4P3/4B3/1PP1QPP1/R5K1 b - - 6 25,g8g2,3,1914,g8g2 g1f1 h8h1 f1g2 e6h3
OjG37,r4rk1/pp4pp/3p4/3P4/1PP1R1Bq/6b1/PB4K1/1R5Q b - - 5 27,f8f2,3,1516,f8f2 g2g1 g3h2 h1h2 h4h2
U1qez,6k1/p1P3pp/4pb2/5p2/8/2P1RB2/Pr3PPP/6K1 b - - 0 23,b2b1,3,771,b2b1 f3d1 b1d1 e3e1 d1e1
zJj35,r2q1r1k/6Rp/2p3bP/1p1p4/1p1P4/6Q1/PPP2P2/1K4R1 w - - 2 23,g7h7,3,1793,g7h7 h8h7 g3g6 h7h8 g6g7
MWyH2,4Q3/kpp5/p7/3B1p1p/3p4/1P2b1qp/P1P3P1/5R1K b - - 1 32,h3g2,3,1422,h3g2 d5g2 g3h4 g2h3 h4h3
qmGwt,1R6/6pk/p2r2pp/3n1q2/2pB4/2P4P/5PP1/2Q3K1 w - - 6 37,b8h8,3,1833,b8h8 h7h8 c1h6 h8g8 h6g7
2UQwo,1r6/5r1k/b1p1p1N1/3pP2p/1q1P4/4P1Q1/6PP/5RK1 w - - 0 31,f1f7,3,1733,f1f7 h7g8 g6h8 g8h8 g3g7
0xGFy,2r3k1/Q4ppp/8/3P4/8/5qP1/P1r2R1P/R5K1 b - - 0 28,c2c1,3,1451,c2c1 a1c1 c8c1 f2f1 c1f1
lqLa6,r2r4/p6Q/2qkpp2/1p1p2p1/1P1P4/2P1R1P1/6P1/2KR4 w - - 4 29,e3e6,3,1124,e3e6 d6e6 d1e1 e6d6 h7e7
ZaLLQ,2Rb3r/1pBk1ppp/4pn2/1q1p4/8/Q7/PP3PPP/6K1 w - - 6 23,c8d8,3,1949,c8d8 h8d8 a3d6 d7e8 d6d8
N88eV,5r1k/p5pp/8/8/2pPQ3/2P3bP/P1BBq1P1/3R2K1 b - - 4 27,e2f2,3,1155,e2f2 g1h1 f2f1 d1f1 f8f1
tlLx8,8/1r6/2R1N2p/6pk/4P3/r6P/1p3PP1/5K2 w - - 0 41,e6g7,3,1942,e6g7 b7g7 g2g4 h5h4 c6h6
GI0bi,5k2/7Q/p3p3/1p1pPp2/nP1N1P2/1K6/P1P5/6r1 b - - 1 39,g1g3,3,1776,g1g3 d4f3 g3f3 c2c3 f3c3
4Tb0v,6k1/3N1pp1/3p3p/8/6Q1/3p2P1/1P3PPK/3qr3 w - - 4 39,d7f6,3,1062,d7f6 g8h8 g4c8 e1e8 c8e8
Cpxxi,3r1r2/5pk1/p1R4p/5Rn1/1P1bPQ2/P2q2P1/6K1/8 w - - 0 37,f5g5,3,1318,f5g5 h6g5 f4g5 g7h8 c6h6
7N9G4,r4rk1/pp1b1Npp/2n1p3/3p4/3q4/3B4/PP4PP/R2Q1R1K w - - 1 18,d3h7,3,1642,d3h7 g8h7 d1h5 h7g8 h5h8
W0LXW,r4k2/pp2n1p1/4Q2p/q1npP2P/5NP1/N1P5/P2K4/R7 w - - 3 24,f4g6,3,1835,f4g6 e7g6 a1f1 g6f4 f1f4
NAdSf,6k1/1pp3pp/p4p2/4p3/2P1q1Q1/2B4P/PP2r1PK/8 w - - 2 30,g4e6,3,1719,g4e6 g8f8 c3b4 c7c5 b4c5
xU5B5,3r2k1/6b1/p5p1/2pp1pN1/2n2P1R/2P4Q/P4PK1/q3r3 w - - 0 34,h4h8,3,1347,h4h8 g7h8 h3h7 g8f8 h7f7
Pzx9F,5rk1/1Q4pp/1p2p1p1/4Pq2/3P4/8/P4RPP/R5K1 b - - 0 24,f5f2,3,786,f5f2 g1h1 f2f1 a1f1 f8f1
3t8Vh,1k6/1pp4q/1p1p4/4p2r/4Pp2/2P5/PP1BQ1P1/R4RK1 b - - 1 29,h5h1,3,1347,h5h1 g1f2 h7h4 g2g3 h4g3
7uVJu,3r1k2/5ppp/1p6/4Q3/P2q4/8/2P4P/2K1R3 w - - 0 37,e5e7,3,1159,e5e7 f8g8 e7e8 d8e8 e1e8
8bUve,6k1/5rpp/1p1K4/5p2/8/3n1B2/PP5P/2R5 w - - 1 33,c1c8,3,1006,c1c8 f7f8 f3d5 g8h8 c8f8
0Sfxe,2kr3r/ppp2pp1/6q1/3pP3/3PnP1p/7P/PP2N1PK/R2Q2R1 b - - 1 19,g6g3,3,1850,g6g3 e2g3 h4g3 h2h1 e4f2
nhnkL,r4nk1/pppb2pp/8/3p4/2q5/2N2Q2/PPP3PP/5R1K w - - 2 19,f3f7,3,1301,f3f7 g8h8 f7f8 a8f8 f1f8
6JHwn,8/8/6pp/5p1k/5K2/6P1/5P2/8 w - - 0 55,f2f3,3,1634,f2f3 g6g5 f4f5 g5g4 f3g4
UP9oj,6Q1/1b2kp2/p3p2p/qpRpP3/3P4/5N1N/5PPP/6K1 b - - 0 33,a5a1,3,907,a5a1 c5c1 a1c1 f3e1 c1e1
WDQS1,1r2B1k1/p4pb1/3p2p1/2pP3p/4NP2/4B2P/1PKQ3P/q2R2R1 b - - 2 21,b8b2,3,2249,b8b2 c2d3 a1a6 e8b5 a6b5
hGIX9,rr5k/p4p2/8/4p2p/3R4/P4P2/1n3P1P/K5R1 w - - 0 27,d4h4,3,1445,d4h4 b8b6 h4h5 b6h6 h5h6
dICac,2k4r/ppp4p/6p1/2q2p2/8/2bQ4/PPP3PP/3R3K w - - 0 26,d3d7,3,1035,d3d7 c8b8 d7d8 h8d8 d1d8
JYRXv,r1b2k1b/p7/3p1rp1/q1pPp1N1/1p1n4/3P2P1/PPP2PBR/2K4R w - - 0 21,h2h8,3,1552,h2h8 f8e7 h1h7 f6f7 h7f7
6B8BH,8/pp6/3pk3/3np2P/KP1PQ3/P1q5/8/6R1 b - - 1 38,d5b6,3,2021,d5b6 a4b5 c3c4 b5a5 c4a6
SSTdJ,2kr3r/ppp2pp1/4p3/2N4q/6n1/3P1B2/PPP1QNP1/R1B3K1 b - - 0 19,h5h2,3,1379,h5h2 g1f1 h2h1 f2h1 h8h1
sOV74,6k1/5Np1/4Q2p/5p2/3r1P2/b4P1K/3q3P/8 w - - 0 40,f7g5,3,1892,f7g5 g8h8 e6e8 a3f8 e8f8
jjWfe,4R3/1b2R2p/p1q2ppk/2p5/5P2/2Q3KP/1P6/8 b - - 0 40,c6g2,3,1390,c6g2 g3h4 g6g5 f4g5 g2g5
GQQFe,4Q3/p7/4Bqpp/4b3/5pPk/3R4/P1P2P1K/4r3 w - - 0 32,d3h3,3,1302,d3h3 h4g5 h3h5 g6h5 e8h5
ts0o9,r6b/r6k/2pQp1RP/q3p2N/1p2P2P/1P3P2/1BP5/1K5R b - - 2 26,a5a1,3,1695,a5a1 b2a1 a7a1 b1b2 a8a2
Qlw2O,4r3/7P/2k1Pp2/p1pp1n2/1p3B2/1K1P4/PPP5/4R2R b - - 0 37,a5a4,3,2020,a5a4 b3a4 e8a8 a4b3 f5d4
j2Ah1,r1b1r3/pp4kp/2p2R2/4n2Q/2B1q3/8/PP4PP/7K w - - 0 27,h5h6,3,2027,h5h6 g7h8 f6f8 e8f8 h6f8
vwG8l,2kr3r/pp1bpp1p/3q1np1/2p1N3/8/2B5/PQ2PPPP/3RKB1R b K - 9 17,d6d1,3,1226,d6d1 e1d1 d7a4 d1c1 d8d1
3g4Sc,rnr3k1/p4ppp/1n2p3/1q2N3/3P3B/4P3/2Q1bPPP/2R2RK1 w - - 0 20,c2c8,3,875,c2c8 b6c8 c1c8 b5e8 c8e8
faMv7,r3r2k/1bq4p/p5pP/1pp3P1/2B5/2P1B3/PP2Q3/2K1R3 w - - 0 28,e3d4,3,1101,e3d4 c5d4 e2e8 a8e8 e1e8
nREwk,6k1/p4pbp/Q1nq2p1/2p4n/8/2N2N2/Pr2PPPP/2R1KB1R b K - 1 16,g7c3,3,1444,g7c3 c1c3 b2b1 c3c1 b1c1
C8gAN,N1b4k/p3rppp/3p4/8/3P1P2/2P5/P1P3PP/R1B2K1n b - - 1 18,c8a6,3,1062,c8a6 c3c4 a6c4 f1g1 e7e1
OLgdd,rnb2k1r/ppp2ppp/3P1n2/8/3P4/6P1/PPP1Q3/RN2KB1q w Q - 1 13,e2e7,3,1191,e2e7 f8g8 e7d8 f6e8 d8e8
gi3oN,2b1Qqk1/6pp/8/8/8/4P2P/rr2BPP1/4R1K1 w - - 2 27,e2c4,3,1170,e2c4 c8e6 c4e6 g8h8 e8f8
JDqDK,r6k/2P3p1/8/3Q3p/1P2P1Rq/8/4N1P1/6K1 b - - 0 45,a8a1,3,1472,a8a1 e2c1 a1c1 d5d1 c1d1
cLj9T,5rk1/5qp1/R3p2p/2PpP3/1Q1P4/8/6PP/R5K1 b - - 0 30,f7f2,3,1036,f7f2 g1h1 f2f1 a1f1 f8f1
oZrDi,5r1k/4R1p1/pq1p2Qp/1p6/8/P7/1P3PPP/2R3K1 b - - 2 28,b6f2,3,781,b6f2 g1h1 f2f1 c1f1 f8f1
zLJGh,1r3rk1/p3pp1p/3p2p1/3P2BP/1qb1PP2/p1p2Q2/2P1N3/KR5R b - - 5 25,b4b2,3,1836,b4b2 b1b2 c3b2 a1b1 a3a2
uCu5g,6k1/3R4/p3r1p1/5qP1/5Pp1/1Q2p3/P3R1KP/2r5 b - - 5 40,f5e4,3,1474,f5e4 g2g3 e4f3 g3h4 f3h3
8H7jI,3rk1nr/ppp3pp/2p1pq2/Q1b5/4P3/8/PPP2PPP/RNB2RK1 b k - 3 10,f6f2,3,1836,f6f2 f1f2 d8d1 a5e1 d1e1
WwhRc,8/8/7R/8/P5P1/1P3k1P/2Pr4/7K b - - 5 48,f3g3,3,1350,f3g3 h6f6 d2d1 f6f1 d1f1
AKKJZ,r4r1k/pp4pp/2p5/4Q3/2Pq4/1P6/P4PPP/R1B1R1K1 b - - 0 22,d4f2,3,1060,d4f2 g1h1 f2f1 e1f1 f8f1
xOyTl,7k/7p/5Np1/1p2Pp2/1P3n2/2P1q3/rP3Q1P/5R1K b - - 1 33,e3f2,3,1514,e3f2 f1f2 a2a1 f2f1 a1f1
EzFHk,2r5/2r3k1/q3Q2p/6p1/1b1pPp2/1B1P1P2/1PP5/3K2RR b - - 8 36,a6a1,3,1166,a6a1 d1e2 c7c2 b3c2 c8c2
9nGeb,5b2/3k2p1/8/4P3/1p1PN1R1/7r/KP6/8 b - - 1 41,b4b3,3,1152,b4b3 a2a1 h3h1 g4g1 h1g1
1YGKp,rn2k2r/ppb2pp1/1qp1b2p/4P3/1BQ2P2/8/P3B1PP/3R1R1K w kq - 1 24,c4e6,3,1848,c4e6 f7e6 e2h5 g7g6 h5g6
uoC34,5rnk/pp2b3/3q3p/5Q1P/3pR3/3B4/PPP2PP1/5K2 w - - 1 23,f5h7,3,1851,f5h7 h8h7 e4e7 h7h8 e7h7
4EQvX,r1br2k1/pp3ppp/5b2/3Q4/5B2/2P3P1/PP2q1BP/3R2K1 w - - 1 20,d5d8,3,625,d5d8 f6d8 d1d8 e2e8 d8e8
cgd58,2kn2R1/pppb1p2/8/1r1N1p2/7p/3P4/P6P/7K w - - 2 29,d5e7,3,1144,d5e7 c8b8 g8d8 d7c8 d8c8
0hFaE,7k/p1p1q1p1/7p/8/3Q4/P3Pp2/1P3P1P/4RRK1 b - - 0 24,e7g5,3,887,e7g5 d4g4 g5g4 g1h1 g4g2
GwlS0,7k/p1R1R2p/2b2r2/1p6/1Ppn2pr/P7/1KP5/8 w - - 0 41,c7c8,3,1266,c7c8 c6e8 c8e8 f6f8 e8f8
Ib3hD,6k1/4Qpbp/3p2p1/2qP4/1p2P3/1P6/5RPP/6K1 b - - 0 30,c5c1,3,1199,c5c1 f2f1 g7d4 g1h1 c1f1
BzKSY,rr4k1/6pp/2p1R3/3p1p2/3P4/Pp1b2PB/1P5P/K1N4R b - - 2 25,a8a3,3,1359,a8a3 b2a3 b3b2 a1a2 b2b1q
gzr1W,2k4r/ppp1ppbp/6p1/8/5Pn1/2P1rNPq/PP1Q4/3R1RK1 w - - 2 22,d2d7,3,1102,d2d7 c8b8 d7d8 h8d8 d1d8
3lGH9,6k1/R4pp1/6np/8/2P2PB1/Pr6/5PKP/8 b - - 2 31,g6f4,3,981,g6f4 g2f1 b3b1 g4d1 b1d1
mEQng,5k1r/qbr1bppp/5n2/1Bp1R3/8/3Q4/PPP2PPP/2KR4 w - - 1 19,d3d8,3,1643,d3d8 e7d8 d1d8 f6e8 e5e8
XucXq,4r3/3k3p/2nprpp1/ppQ5/5P1N/P1B3Pq/3R3P/3R2K1 b - - 0 26,e6e1,3,1026,e6e1 d1e1 e8e1 g1f2 h3f1
BV8Ng,5rk1/1R3Nbp/p5p1/3Qpn2/5P2/q1r4P/P5P1/5R1K w - - 3 28,f7h6,3,1283,f7h6 g8h8 d5g8 f8g8 h6f7
Qdazv,2k2r2/Q1p5/1pP2r2/3p2p1/3P4/4q1B1/6PP/R1R4K b - - 2 32,e3c1,3,1399,e3c1 a1c1 f6f1 c1f1 f8f1
BapMh,2kr1b1r/qp4pp/5p2/1B1pB3/1n2nP2/7P/3PQP2/1N2K1R1 w - - 0 18,e2g4,3,1538,e2g4 f6f5 g4f5 d8d7 f5d7
jHsSX,6k1/p4pp1/3p3p/8/3r4/3n1Q2/PPRn1PPq/3K1R2 w - - 0 25,c2c8,3,1809,c2c8 g8h7 f3f5 g7g6 f5f7
x9hQJ,8/8/8/R4p2/P1P2k2/7p/4r3/7K b - - 0 44,f4g3,3,1427,f4g3 a5f5 e2e1 f5f1 e1f1
dANQu,r6k/1bN4p/1p1p2p1/4p3/8/1BB5/P4qPP/Q6K w - - 3 30,c3e5,3,1052,c3e5 d6e5 a1e5 f2f6 e5f6
GQ714,5rk1/1Q3ppp/p2r4/1p6/8/1P6/Pq4PP/4RR1K w - - 5 24,b7f7,3,1566,b7f7 f8f7 e1e8 f7f8 f1f8
Co3pM,q4Nk1/rppn2pb/1b5p/3pP3/1n6/2NPP3/1BPQ4/2KR1B1R b - - 0 23,a7a1,3,1509,a7a1 b2a1 a8a1 c3b1 b4a2
fnbog,4r1k1/q5bp/p3p1pB/1p1bn3/3PpQP1/P1P4P/1P3R2/5RK1 w - - 0 34,f4f8,3,2032,f4f8 g7f8 f2f8 e8f8 f1f8
LLakD,r4r1k/p5pp/3Np3/6N1/4Q3/8/q4PPP/4R1K1 b - - 5 24,a2f2,3,1015,a2f2 g1h1 f2f1 e1f1 f8f1
hpd0l,8/5kp1/5p1p/p7/P1R1PKPP/r7/5P2/8 b - - 2 36,g7g5,3,1147,g7g5 h4g5 h6g5 f4f5 a3f3
09vaO,3r3k/7B/3q3Q/8/4p3/P1p3PP/5P1K/4r3 w - - 3 45,h7g6,3,1504,h7g6 h8g8 h6h7 g8f8 h7f7
43ief,7k/p4Rb1/P2p1q2/2pP4/2P1Qppp/3N4/4PP1P/6K1 b - - 0 36,f6a1,3,1179,f6a1 d3c1 a1c1 g1g2 h4h3
nlCTh,1r4kr/2p2pbp/p4P1B/1q2pP2/8/5K2/Pp3P2/1R4R1 w - - 5 30,g1g7,3,2189,g1g7 g8f8 g7g8 f8g8 b1g1
hxwnQ,5kr1/5p2/3p4/3P4/4RR1P/P2P1K1b/4PQ2/5q2 b - - 2 35,h3g2,3,1864,h3g2 f3e3 f1c1 e3d4 c1c5
zEw2k,4rrk1/pp3ppp/8/6q1/3p4/1PPN1QP1/P2n2KP/4RR2 w - - 0 23,f3f7,3,1561,f3f7 f8f7 e1e8 f7f8 f1f8
LiG76,4k2r/p4pp1/4pn2/1P5p/2pP3P/6q1/1P1KP3/R1BQ3R b k - 1 17,f6e4,3,1542,f6e4 d2c2 g3b3 c2b1 e4c3
zFiVg,4r1k1/p1p2ppp/2q5/2n5/2Q5/2N4P/P1r3P1/2B2R1K w - - 0 25,c4f7,3,1077,c4f7 g8h8 f7f8 e8f8 f1f8
D3hYK,r3k1nr/4p1b1/3p2pp/1P6/q2BP1P1/1N3P2/1PPQ4/1K1R3R b kq - 4 22,a4a2,3,1167,a4a2 b1c1 a2a1 b3a1 a8a1
G0w5J,kr5r/3Q2p1/2p1R3/p2p2Bp/Pb1P3P/5P2/P1P5/1K1R4 b - - 0 28,b4d2,3,2046,b4d2 d7b7 b8b7 b1a1 d2c3
rIP5L,3r2k1/Q4ppp/1p6/6P1/8/4P3/Pq5P/5RK1 w - - 0 25,a7f7,3,891,a7f7 g8h8 f7f8 d8f8 f1f8
begit,6rk/pb2Bp2/1p6/2p4B/1PP5/P7/6PP/R4RK1 b - - 0 28,g8g2,3,2070,g8g2 g1h1 g2g4 f1f3 b7f3
yi662,5r1k/pppb4/3p2p1/3Qn1q1/8/8/2P3PP/5RK1 w - - 1 27,f1f8,3,1351,f1f8 h8g7 d5g8 g7h6 g8h8
Fwc5C,8/2p5/3p2k1/1Q1P1pp1/P1P5/5pPP/r3qP2/5RK1 b - - 4 38,e2f1,3,1463,e2f1 g1f1 a2a1 b5b1 a1b1
JVzVu,2r1k3/4b1Q1/4p2p/p2pP2P/qP3B2/4P3/PP3P2/1K5R b - - 0 29,a4c2,3,1052,a4c2 b1a1 c2c1 h1c1 c8c1
xJwpw,2rqr1k1/pp3pp1/3b2p1/2pn4/7R/1P3N2/PB1Q1PPP/R5K1 w - - 0 19,h4h8,3,1780,h4h8 g8h8 d2h6 h8g8 h6g7
HVcap,5r2/p4k2/3b4/8/3r2R1/5P1K/PPB3P1/4R3 b - - 0 41,f8h8,3,1043,f8h8 c2h7 h8h7 g4h4 d4h4
vgvDu,Q2Q4/5pk1/6p1/3P1rPp/4p1qP/4P1r1/1P1NRP2/5K1R b - - 2 40,f5f2,3,1731,f5f2 f1f2 g3g2 f2e1 g4e2
42Cy0,r2q1rk1/1p3pp1/pb2P2p/5pNQ/5n2/P7/1Bp3PP/R6K w - - 0 27,e6f7,3,1207,e6f7 f8f7 h5f7 g8h8 f7g7
3GYWh,3r3k/2p2p2/6P1/8/1q2P3/pP2QKP1/1r6/8 w - - 0 35,e3h6,3,1298,e3h6 h8g8 h6h7 g8f8 h7f7
j0A7v,8/1p2q1k1/p2p1p1p/3Q1RpB/4r3/P1P3P1/1P4PP/6K1 b - - 2 26,e4e1,3,1180,e4e1 f5f1 e7e3 g1h1 e1f1
MnIMS,8/5rkp/p2p2p1/8/2PpP3/3P4/1QPq2PP/1R4K1 b - - 9 33,d2f2,3,1157,d2f2 g1h1 f2f1 b1f1 f7f1
URe5P,r1b1r1kb/pp2qp2/3p1n1Q/2p3N1/2PP4/3BP3/PP3PP1/R3K3 w Q - 0 19,d3h7,3,1275,d3h7 f6h7 h6h7 g8f8 h7h8
nqlPD,r4r1k/3qn2p/pb4p1/4p3/2P2P2/Nb6/1B2Q1PP/5K2 w - - 0 34,e2e5,3,1163,e2e5 f8f6 e5f6 h8g8 f6g7
axN53,5r2/5p1k/p6p/1p1pN3/1q1bb1N1/1P4RP/P6K/3R4 w - - 2 31,g4f6,3,1458,g4f6 h7h8 e5f7 f8f7 g3g8
h7gyH,3QR3/r1b2pkp/2B3p1/5p2/8/7P/5PP1/6K1 b - - 0 36,a7a1,3,940,a7a1 d8d1 a1d1 e8e1 d1e1
